line_id	poem_id	text	sub_title	title	poet	annotator_01	annotator_02	annotator_03	annotator_04	annotator_05
1227	118	그 누가 기억(記憶)하랴 다북동에서		물마름	김소월	패배/자기혐오, 지긋지긋, 한심함	지긋지긋, 서러움, 슬픔, 안타까움/실망, 불안/걱정	기대감, 부담/안_내킴, 불안/걱정, 없음	불쌍함/연민, 안타까움/실망, 슬픔, 힘듦/지침	불안/걱정, 불평/불만, 지긋지긋
1228	118	피물든 옷을 입고 외치던 일을		물마름	김소월	안타까움/실망, 공포/무서움, 비장함	안타까움/실망, 비장함, 불안/걱정, 서러움, 슬픔, 힘듦/지침	감동/감탄, 비장함, 증오/혐오, 화남/분노, 힘듦/지침	비장함	비장함, 부담/안_내킴, 경악
1229	118	정주성(定州城) 하룻밤의 지는 달빛에		물마름	김소월	없음, 신기함/관심	신기함/관심, 비장함, 안타까움/실망, 서러움, 불안/걱정	없음	불쌍함/연민, 슬픔, 안타까움/실망	감동/감탄, 신기함/관심, 편안/쾌적
1230	118	애그친 그 가슴이 숫기 된 줄을.		물마름	김소월	슬픔, 서러움, 안타까움/실망	슬픔, 서러움, 놀람, 불안/걱정, 비장함	불쌍함/연민, 안타까움/실망	비장함, 슬픔	깨달음, 놀람, 당황/난처
1231	118	물 위의 뜬 마름에 아침이슬을		물마름	김소월	신기함/관심, 없음	신기함/관심, 없음, 기대감, 불안/걱정, 비장함	감동/감탄, 기대감, 기쁨, 즐거움/신남, 흐뭇함(귀여움/예쁨)	슬픔	감동/감탄, 신기함/관심, 기쁨, 편안/쾌적
1232	118	불붙는 산(山)마루에 피었던 꽃을		물마름	김소월	신기함/관심, 흐뭇함(귀여움/예쁨)	신기함/관심, 없음	감동/감탄, 기대감, 기쁨	안타까움/실망, 힘듦/지침, 슬픔	감동/감탄, 신기함/관심, 흐뭇함(귀여움/예쁨)
1233	118	지금에 우러르며 나는 우노라		물마름	김소월	서러움, 슬픔, 비장함	서러움, 슬픔, 비장함, 불안/걱정, 힘듦/지침	불쌍함/연민, 슬픔, 서러움	절망, 슬픔	서러움, 슬픔, 안타까움/실망, 절망, 힘듦/지침
1234	118	이루며 못 이룸에 박(薄)한 이름을.		물마름	김소월	죄책감, 패배/자기혐오, 한심함	죄책감, 패배/자기혐오, 한심함, 서러움, 안타까움/실망	안타까움/실망, 패배/자기혐오	부담/안_내킴, 슬픔, 패배/자기혐오, 절망	불평/불만, 불안/걱정
1235	119	우리 집 뒷산에는 풀이 푸르고		풀 따기	김소월	흐뭇함(귀여움/예쁨), 고마움, 기쁨	서러움, 슬픔	없음	감동/감탄, 기쁨, 뿌듯함, 즐거움/신남, 행복	감동/감탄, 고마움, 기쁨, 흐뭇함(귀여움/예쁨)
1236	119	숲 사이의 시냇물, 모래 바닥은		풀 따기	김소월	신기함/관심, 없음	신기함/관심, 없음	없음	편안/쾌적, 행복	신기함/관심
1237	119	파아란 풀 그림자, 떠서 흘러요.		풀 따기	김소월	편안/쾌적, 신기함/관심, 흐뭇함(귀여움/예쁨)	편안/쾌적, 흐뭇함(귀여움/예쁨), 신기함/관심, 아껴주는	기쁨, 신기함/관심, 흐뭇함(귀여움/예쁨)	편안/쾌적, 감동/감탄	신기함/관심, 흐뭇함(귀여움/예쁨)
1238	119	그립은 우리 님은 어디 계신고.		풀 따기	김소월	슬픔, 서러움, 아껴주는, 안타까움/실망	불안/걱정, 서러움, 슬픔, 안타까움/실망, 아껴주는	깨달음, 놀람, 부담/안_내킴, 슬픔	슬픔, 안타까움/실망, 힘듦/지침, 불안/걱정, 서러움	불평/불만, 불안/걱정, 불쌍함/연민, 서러움, 슬픔, 절망, 안타까움/실망
1239	119	날마다 피어나는 우리 님 생각.		풀 따기	김소월	기대감, 아껴주는, 환영/호의	기쁨, 신기함/관심, 아껴주는, 행복, 흐뭇함(귀여움/예쁨)	기대감, 기쁨, 아껴주는	슬픔, 신기함/관심, 아껴주는, 환영/호의	기대감, 아껴주는
1240	119	날마다 뒷산에 홀로 앉아서		풀 따기	김소월	슬픔, 없음	불안/걱정, 불쌍함/연민, 서러움, 슬픔, 안타까움/실망	부담/안_내킴, 불안/걱정, 슬픔, 서러움, 힘듦/지침	불쌍함/연민, 슬픔	귀찮음, 비장함, 패배/자기혐오
1241	119	날마다 풀을 따서 물에 던져요.		풀 따기	김소월	기대감, 없음	기대감, 없음	힘듦/지침	기대감, 기쁨, 즐거움/신남	지긋지긋, 재미없음
1242	119	흘러가는 시내의 물에 흘러서		풀 따기	김소월	기대감, 신기함/관심, 없음	기대감, 신기함/관심, 불안/걱정	없음	기쁨, 행복	편안/쾌적, 기대감
1243	119	내어던진 풀잎은 옅게 떠갈 제		풀 따기	김소월	불안/걱정, 서러움	불안/걱정, 서러움, 슬픔, 안타까움/실망	안타까움/실망	불쌍함/연민, 힘듦/지침, 안타까움/실망	불쌍함/연민, 신기함/관심, 아껴주는, 흐뭇함(귀여움/예쁨)
1244	119	물살이 헤적헤적 품을 헤쳐요.		풀 따기	김소월	흐뭇함(귀여움/예쁨), 신기함/관심	흐뭇함(귀여움/예쁨), 신기함/관심, 서러움, 불안/걱정, 안타까움/실망	즐거움/신남	슬픔, 안타까움/실망	감동/감탄, 흐뭇함(귀여움/예쁨)
1245	119	가여운 이 내 속을 둘 곳 없어서		풀 따기	김소월	서러움, 슬픔, 불쌍함/연민, 죄책감	서러움, 슬픔, 불쌍함/연민, 불안/걱정, 안타까움/실망	부담/안_내킴, 슬픔, 서러움, 안타까움/실망	불안/걱정, 서러움, 슬픔, 힘듦/지침	서러움, 슬픔, 당황/난처, 절망
1246	119	날마다 풀을 따서 물에 던지고		풀 따기	김소월	기대감, 지긋지긋, 불안/걱정, 힘듦/지침	힘듦/지침, 귀찮음, 없음	슬픔, 없음	슬픔, 힘듦/지침, 재미없음	재미없음, 지긋지긋, 패배/자기혐오
1247	119	흘러가는 잎이나 맘해 보아요.		풀 따기	김소월	흐뭇함(귀여움/예쁨), 신기함/관심, 편안/쾌적	서러움, 슬픔, 불안/걱정, 안타까움/실망, 지긋지긋	신기함/관심	슬픔, 힘듦/지침	귀찮음, 신기함/관심, 아껴주는
1248	120	그대가 돌이켜 물을 줄도 내가 아노라,		무신	김소월	비장함, 우쭐댐/무시함, 안심/신뢰, 기대감	비장함, 우쭐댐/무시함, 안심/신뢰, 기대감, 뿌듯함, 아껴주는, 환영/호의	깨달음, 비장함	슬픔, 안타까움/실망, 서러움	아껴주는, 깨달음, 의심/불신
1249	120	무엇이 무신(無信)함이 있더냐?' 하고,		무신	김소월	의심/불신, 당황/난처, 부담/안_내킴, 짜증	의심/불신, 당황/난처, 부담/안_내킴, 놀람, 불안/걱정, 서러움, 안타까움/실망	부담/안_내킴, 당황/난처, 안타까움/실망, 의심/불신	안타까움/실망, 의심/불신, 증오/혐오	의심/불신, 불안/걱정, 당황/난처, 부담/안_내킴
1250	120	그러나 무엇하랴 오늘날은		무신	김소월	안타까움/실망, 불평/불만, 당황/난처, 부담/안_내킴, 짜증	안타까움/실망, 불평/불만, 부담/안_내킴, 짜증, 불안/걱정, 지긋지긋	없음	안타까움/실망, 불평/불만, 힘듦/지침	부담/안_내킴, 재미없음, 패배/자기혐오, 힘듦/지침
1251	120	야속히도 당장에 우리 눈으로		무신	김소월	패배/자기혐오, 부담/안_내킴, 당황/난처	패배/자기혐오, 불안/걱정, 서러움, 짜증, 불평/불만	당황/난처, 불안/걱정, 불평/불만, 안타까움/실망	당황/난처, 부담/안_내킴, 불안/걱정, 슬픔, 안타까움/실망	서러움, 안타까움/실망, 불평/불만
1252	120	볼 수 없는 그것을, 물과 같이		무신	김소월	불안/걱정, 안타까움/실망, 슬픔, 패배/자기혐오	불안/걱정, 안타까움/실망, 슬픔, 패배/자기혐오, 서러움	당황/난처, 서러움, 안타까움/실망	슬픔, 힘듦/지침	당황/난처, 의심/불신
1253	120	흘러가서 없어진 맘이라고 하면.		무신	김소월	안타까움/실망, 불안/걱정, 불평/불만, 의심/불신	안타까움/실망, 불안/걱정, 당황/난처, 서러움, 슬픔, 절망	당황/난처, 불안/걱정, 서러움, 슬픔, 안타까움/실망	안타까움/실망, 절망, 힘듦/지침	깨달음, 재미없음
1254	120	검은 구름은 멧기슭에서 어정거리며,		무신	김소월	불안/걱정, 없음	불안/걱정, 없음, 의심/불신	공포/무서움, 당황/난처, 부담/안_내킴, 불안/걱정	불안/걱정, 부담/안_내킴, 의심/불신	공포/무서움, 놀람, 불안/걱정
1255	120	애처롭게도 우는 산(山)의 사슴이		무신	김소월	슬픔, 서러움, 불쌍함/연민	불쌍함/연민, 서러움, 슬픔	슬픔, 서러움, 안타까움/실망, 불안/걱정, 불쌍함/연민, 부담/안_내킴	당황/난처, 불안/걱정, 불쌍함/연민, 슬픔, 안타까움/실망	놀람, 당황/난처, 불쌍함/연민, 불안/걱정
1256	120	내 품에 속속들이 붙안기는 듯.		무신	김소월	기대감, 깨달음, 환영/호의	기대감, 환영/호의, 불안/걱정, 서러움, 아껴주는	당황/난처, 부담/안_내킴, 불쌍함/연민, 불안/걱정	부담/안_내킴, 불안/걱정, 불평/불만, 힘듦/지침	당황/난처, 놀람, 기쁨, 기대감, 감동/감탄, 고마움
1257	120	그러나 밀물도 쌓이고 밤은 어둡어		무신	김소월	공포/무서움, 불안/걱정, 슬픔, 패배/자기혐오, 부담/안_내킴	당황/난처, 서러움, 슬픔, 불안/걱정, 안타까움/실망, 공포/무서움, 힘듦/지침	공포/무서움, 당황/난처, 부담/안_내킴, 불안/걱정	당황/난처, 부담/안_내킴, 불안/걱정, 힘듦/지침	안타까움/실망, 공포/무서움, 당황/난처, 놀람, 경악, 불안/걱정
1258	120	닻 주었던 자리는 알 길이 없어라.		무신	김소월	안타까움/실망, 의심/불신, 부담/안_내킴, 패배/자기혐오, 절망	안타까움/실망, 당황/난처, 서러움, 슬픔, 불안/걱정, 비장함	깨달음, 부담/안_내킴, 불안/걱정, 비장함	불안/걱정, 슬픔, 힘듦/지침	당황/난처
1259	120	시정(市井)의 흥정 일은		무신	김소월	없음	없음	없음	불평/불만, 한심함, 지긋지긋, 증오/혐오	신기함/관심, 기대감, 부담/안_내킴
1260	120	외상(外上)으로 주고 받기도 하건마는.		무신	김소월	없음	당황/난처, 서러움, 불평/불만, 짜증, 어이없음, 안타까움/실망	당황/난처, 부끄러움, 부담/안_내킴, 안타까움/실망	어이없음, 슬픔, 한심함	기대감, 깨달음, 의심/불신
1261	121	집을 떠나 먼 저곳에		잊었던 맘	김소월	없음, 힘듦/지침	힘듦/지침, 기대감, 불안/걱정	당황/난처, 불안/걱정, 슬픔, 의심/불신, 힘듦/지침	불안/걱정, 힘듦/지침, 부담/안_내킴	불안/걱정, 기대감, 부담/안_내킴, 신기함/관심
1262	121	외로이도 다니던 내 심사를!		잊었던 맘	김소월	슬픔, 깨달음, 당황/난처, 불안/걱정, 화남/분노, 절망, 서러움, 안타까움/실망	놀람, 안타까움/실망, 서러움, 슬픔	불쌍함/연민, 서러움, 슬픔, 안타까움/실망	슬픔, 재미없음, 힘듦/지침	지긋지긋, 화남/분노
1263	121	바람 불어 봄꽃이 필 때에는		잊었던 맘	김소월	기쁨, 흐뭇함(귀여움/예쁨), 즐거움/신남, 감동/감탄	기대감, 기쁨, 아껴주는, 편안/쾌적	기대감, 즐거움/신남	감동/감탄, 기대감, 기쁨, 신기함/관심, 아껴주는, 환영/호의, 행복	감동/감탄, 기대감, 흐뭇함(귀여움/예쁨), 편안/쾌적, 환영/호의
1264	121	어찌타 그대는 또 왔는가.		잊었던 맘	김소월	불안/걱정, 놀람, 당황/난처, 아껴주는, 부담/안_내킴, 지긋지긋	안타까움/실망, 불쌍함/연민, 불안/걱정	당황/난처, 불안/걱정, 힘듦/지침	놀람, 당황/난처, 불안/걱정, 불쌍함/연민, 안타까움/실망, 슬픔	당황/난처, 놀람, 부담/안_내킴, 불평/불만, 의심/불신
1265	121	저도 잊고나니 저 모르던 그대		잊었던 맘	김소월	안타까움/실망, 슬픔, 부담/안_내킴	서러움, 아껴주는, 안타까움/실망	깨달음, 놀람, 당황/난처, 서러움, 안타까움/실망	슬픔, 서러움, 당황/난처	슬픔, 서러움, 불평/불만, 안타까움/실망, 절망
1266	121	어찌하여 옛날의 꿈조차 함께 오는가.		잊었던 맘	김소월	기대감, 깨달음, 신기함/관심, 부담/안_내킴, 힘듦/지침	신기함/관심, 부담/안_내킴, 힘듦/지침, 서러움, 슬픔, 안타까움/실망, 지긋지긋	감동/감탄, 기쁨, 기대감, 놀람, 의심/불신	감동/감탄, 놀람, 슬픔, 힘듦/지침	당황/난처, 부담/안_내킴, 놀람, 의심/불신
1267	121	쓸데도 없이 서럽게만 오고가는 맘.		잊었던 맘	김소월	서러움, 불안/걱정, 한심함	서러움, 슬픔, 불평/불만, 안타까움/실망, 지긋지긋	부담/안_내킴, 서러움, 슬픔, 안타까움/실망	불안/걱정, 서러움, 슬픔, 힘듦/지침	서러움, 지긋지긋
1268	122	해가 산(山)마루에 저물어도		해가 산마루에 저물어도	김소월	기대감, 없음	서러움, 불안/걱정, 당황/난처	감동/감탄, 깨달음, 슬픔	아껴주는, 안심/신뢰, 편안/쾌적, 행복	감동/감탄, 신기함/관심, 기대감
1269	122	내게 두고는 당신때문에 저뭅니다.		해가 산마루에 저물어도	김소월	화남/분노, 패배/자기혐오, 안타까움/실망, 불평/불만	서러움, 슬픔, 아껴주는, 안타까움/실망	부담/안_내킴, 불안/걱정, 신기함/관심, 아껴주는, 안타까움/실망	불안/걱정, 불평/불만, 슬픔, 어이없음	안타까움/실망, 의심/불신, 절망
1270	122	해가 산(山)마루에 올라와도		해가 산마루에 저물어도	김소월	안타까움/실망, 불안/걱정, 귀찮음, 불평/불만	당황/난처, 불안/걱정, 서러움, 슬픔	부담/안_내킴	불안/걱정, 의심/불신, 힘듦/지침	감동/감탄, 기대감
1271	122	내게 두고는 당신때문에 밝은 아침이라고 할 것입니다.		해가 산마루에 저물어도	김소월	기대감, 아껴주는	기대감, 아껴주는, 기쁨, 감동/감탄, 고마움, 슬픔	기대감, 기쁨, 아껴주는, 안심/신뢰, 행복, 흐뭇함(귀여움/예쁨)	기쁨, 아껴주는, 행복	기쁨, 아껴주는, 고마움, 기대감
1272	122	땅이 꺼져도 하늘이 무너져도		해가 산마루에 저물어도	김소월	비장함	비장함	경악, 놀람, 당황/난처, 불안/걱정	비장함, 뿌듯함	공포/무서움, 비장함, 기대감, 경악, 절망
1273	122	내게 두고는 끝까지 모두다 당신때문에 있습니다.		해가 산마루에 저물어도	김소월	아껴주는, 기대감, 비장함	아껴주는, 비장함, 서러움	서러움, 안타까움/실망, 한심함	서러움, 아껴주는	비장함, 뿌듯함, 아껴주는
1274	122	다시는, 나의 이러한 맘뿐은, 때가 되면,		해가 산마루에 저물어도	김소월	비장함, 기대감	안타까움/실망, 슬픔, 서러움	기대감, 없음	기대감, 안심/신뢰, 비장함	비장함
1275	122	그림자같이 당신한테로 가우리다.		해가 산마루에 저물어도	김소월	아껴주는, 비장함, 기대감, 환영/호의	비장함, 서러움, 아껴주는	비장함, 아껴주는, 존경, 환영/호의	서러움, 슬픔, 비장함	비장함, 존경
1276	122	오오, 나의 애인(愛人)이었던 당신이여.		해가 산마루에 저물어도	김소월	감동/감탄, 고마움, 아껴주는, 기대감, 서러움, 불안/걱정	감동/감탄, 비장함, 서러움, 슬픔, 안타까움/실망	기대감, 불쌍함/연민, 비장함, 서러움, 안타까움/실망	슬픔, 안타까움/실망, 힘듦/지침	고마움, 아껴주는
1277	123	물로 사흘 배 사흘		삭주구성	김소월	힘듦/지침, 지긋지긋, 서러움	힘듦/지침, 지긋지긋, 서러움	힘듦/지침	기대감, 아껴주는	놀람, 당황/난처
1278	123	먼 삼천리		삭주구성	김소월	없음	서러움, 슬픔, 안타까움/실망	없음	불안/걱정, 비장함, 힘듦/지침	부담/안_내킴, 불안/걱정, 힘듦/지침
1279	123	더더구나 걸어넘는 먼 삼천리		삭주구성	김소월	없음	힘듦/지침, 부담/안_내킴, 서러움, 슬픔, 불안/걱정	당황/난처, 부담/안_내킴, 힘듦/지침	경악, 부담/안_내킴, 불안/걱정, 힘듦/지침, 절망	경악, 귀찮음, 부담/안_내킴, 힘듦/지침
1280	123	삭주구성(朔州龜城)은 산(山)을 넘은 육천리요		삭주구성	김소월	놀람, 깨달음, 없음	없음, 불안/걱정, 불평/불만, 힘듦/지침, 서러움, 안타까움/실망	놀람, 당황/난처, 안타까움/실망	깨달음, 안타까움/실망, 슬픔	서러움, 슬픔, 힘듦/지침, 절망
1281	123	물맞아 함빡이 젖은 제비도		삭주구성	김소월	불쌍함/연민, 불안/걱정	불쌍함/연민, 불안/걱정, 기대감, 서러움, 아껴주는	불안/걱정, 불쌍함/연민	불쌍함/연민, 아껴주는, 안타까움/실망	불쌍함/연민, 불안/걱정, 아껴주는, 안타까움/실망
1282	123	가다가 비에 걸려 오노랍니다		삭주구성	김소월	귀찮음	귀찮음, 불평/불만	당황/난처, 부담/안_내킴, 불안/걱정, 불평/불만, 안타까움/실망	슬픔, 서러움, 힘듦/지침, 지긋지긋	당황/난처
1283	123	저녁에는 높은 산		삭주구성	김소월	신기함/관심, 없음	신기함/관심, 없음	기대감, 없음	슬픔, 힘듦/지침, 없음	감동/감탄, 놀람
1284	123	밤에 높은 산		삭주구성	김소월	없음	없음, 불안/걱정	공포/무서움	감동/감탄, 불안/걱정, 슬픔, 힘듦/지침	감동/감탄, 신기함/관심
1285	123	삭주구성은 산 넘어		삭주구성	김소월	없음, 힘듦/지침	힘듦/지침, 없음	없음	기대감, 비장함	놀람, 기대감
1286	123	먼 육천리		삭주구성	김소월	없음	서러움, 슬픔, 힘듦/지침, 불평/불만, 불안/걱정	없음, 부담/안_내킴, 당황/난처	힘듦/지침, 슬픔, 안타까움/실망	불안/걱정, 기대감, 힘듦/지침, 신기함/관심
1287	123	가끔가끔 꿈에는 사오천리		삭주구성	김소월	불안/걱정, 힘듦/지침	당황/난처, 불안/걱정, 서러움, 슬픔, 안타까움/실망	기대감, 없음	안타까움/실망, 슬픔	기대감, 놀람, 당황/난처
1288	123	가다오다 돌아오는 길이겠지요		삭주구성	김소월	불안/걱정, 안타까움/실망	힘듦/지침, 불쌍함/연민, 불안/걱정, 서러움, 안타까움/실망	불안/걱정, 불쌍함/연민, 안타까움/실망	기대감, 슬픔, 아껴주는, 비장함	의심/불신, 기대감, 힘듦/지침, 절망, 깨달음
1289	123	서로 떠난 몸이길래 몸이 그리워		삭주구성	김소월	슬픔, 서러움, 아껴주는	슬픔, 서러움, 아껴주는	부담/안_내킴, 불안/걱정, 슬픔, 힘듦/지침	불쌍함/연민, 불안/걱정, 안타까움/실망, 힘듦/지침	서러움, 슬픔
1290	123	님을 둔 곳이길래 곳이 그리워		삭주구성	김소월	슬픔, 서러움, 아껴주는	슬픔, 서러움, 아껴주는, 안타까움/실망	기대감, 불안/걱정, 안타까움/실망, 아껴주는	아껴주는, 신기함/관심	서러움, 아껴주는, 슬픔, 안타까움/실망
1291	123	못 보았소 새들도 집이 그리워		삭주구성	김소월	슬픔, 안타까움/실망, 불쌍함/연민	슬픔, 안타까움/실망, 불쌍함/연민, 서러움	불쌍함/연민, 안타까움/실망, 슬픔	슬픔, 서러움, 힘듦/지침	깨달음, 흐뭇함(귀여움/예쁨), 불안/걱정, 불쌍함/연민, 아껴주는, 안타까움/실망
1292	123	남북으로 오며가며 아니합디까		삭주구성	김소월	지긋지긋, 힘듦/지침	힘듦/지침, 서러움, 불쌍함/연민	불쌍함/연민	슬픔, 아껴주는, 절망	불안/걱정, 감동/감탄, 신기함/관심, 의심/불신
1293	123	들 끝에 날아가는 나는 구름은		삭주구성	김소월	신기함/관심, 흐뭇함(귀여움/예쁨)	신기함/관심	없음	감동/감탄, 아껴주는, 행복, 편안/쾌적	감동/감탄, 신기함/관심, 기대감
1294	123	밤쯤은 어디 바로 가있을텐고		삭주구성	김소월	불안/걱정, 신기함/관심	불안/걱정, 서러움, 안타까움/실망, 아껴주는	아껴주는, 슬픔	깨달음, 불안/걱정	신기함/관심, 의심/불신
1295	124	들가에 떨어져 나가앉은 멧기슭의		나의 집	김소월	없음	불안/걱정, 서러움, 슬픔	없음	불안/걱정, 의심/불신	놀람, 깨달음, 불쌍함/연민
1296	124	넓은 바다의 물가 뒤에,		나의 집	김소월	신기함/관심, 없음	신기함/관심, 없음	없음	아껴주는, 슬픔, 힘듦/지침	기대감, 깨달음, 놀람, 신기함/관심
1297	124	나는 지으리, 나의 집을,		나의 집	김소월	비장함, 기대감, 없음	비장함, 기대감, 서러움	기대감, 기쁨, 안심/신뢰, 행복, 환영/호의	감동/감탄, 기대감, 기쁨, 뿌듯함, 행복	비장함
1298	124	다시금 큰길을 앞에다 두고.		나의 집	김소월	환영/호의, 비장함, 없음	환영/호의, 비장함, 기대감, 불안/걱정	기대감, 신기함/관심	기대감, 기쁨, 불안/걱정	비장함, 기대감
1299	124	길로 지나가는 그 사람들은		나의 집	김소월	신기함/관심, 없음	신기함/관심	신기함/관심	재미없음, 슬픔, 힘듦/지침	신기함/관심
1300	124	제각금 떨어져서 혼자 가는 길.		나의 집	김소월	슬픔	슬픔, 불안/걱정, 서러움	부담/안_내킴, 재미없음	없음, 편안/쾌적	깨달음, 서러움, 재미없음, 힘듦/지침
1301	124	하이얀 여울턱에 날은 저물 때.		나의 집	김소월	없음, 신기함/관심	기대감, 불안/걱정, 서러움, 슬픔	없음	슬픔, 편안/쾌적	감동/감탄, 기쁨, 편안/쾌적, 행복
1302	124	나는 문(門)간에 서서 기다리리		나의 집	김소월	비장함, 기대감, 당황/난처, 불안/걱정	비장함, 기대감, 불안/걱정, 서러움, 슬픔	기대감, 기쁨	기대감, 신기함/관심, 아껴주는, 즐거움/신남	기대감, 비장함
1303	124	새벽새가 울며 지새는 그늘로		나의 집	김소월	불안/걱정, 슬픔, 서러움	불안/걱정, 슬픔, 서러움, 안타까움/실망	서러움, 불쌍함/연민	편안/쾌적, 기대감, 아껴주는	흐뭇함(귀여움/예쁨), 기대감, 고마움, 감동/감탄, 편안/쾌적
1304	124	세상은 희게, 또는 고요하게,		나의 집	김소월	편안/쾌적, 없음	편안/쾌적, 없음, 감동/감탄, 서러움, 슬픔, 아껴주는	슬픔, 없음	감동/감탄, 비장함, 편안/쾌적	깨달음
1305	124	번쩍이며 오는 아침부터,		나의 집	김소월	감동/감탄, 기대감, 기쁨, 환영/호의	감동/감탄, 기대감, 기쁨, 환영/호의, 놀람	깨달음, 기대감, 기쁨	기대감, 기쁨, 비장함, 행복	감동/감탄, 놀람
1306	124	지나가는 길손을 눈여겨보며,		나의 집	김소월	신기함/관심	신기함/관심	놀람, 신기함/관심	기대감, 신기함/관심, 아껴주는, 행복	기대감, 신기함/관심
1307	124	그대인가고, 그대인가고.		나의 집	김소월	아껴주는, 기대감	아껴주는, 기대감, 서러움, 불안/걱정, 환영/호의	슬픔, 없음	기대감, 기쁨, 신기함/관심, 아껴주는, 환영/호의, 행복	기대감, 서러움, 안심/신뢰
1308	125	벗은 설움에서 반갑고		님과 벗	김소월	기쁨, 고마움, 행복	고마움, 서러움, 환영/호의, 아껴주는	기쁨, 고마움, 부담/안_내킴, 안타까움/실망	기쁨, 슬픔, 안심/신뢰, 환영/호의	기쁨, 서러움, 기대감, 놀람, 감동/감탄, 고마움
1309	125	님은 사랑에서 좋아라.		님과 벗	김소월	기대감, 아껴주는, 기쁨	기대감, 아껴주는, 기쁨, 행복	기쁨, 기대감, 아껴주는, 즐거움/신남, 행복, 흐뭇함(귀여움/예쁨)	감동/감탄, 기쁨, 아껴주는, 행복	기쁨, 안심/신뢰, 감동/감탄, 아껴주는
1310	125	딸기꽃 피어서 향기(香氣)로운 때를		님과 벗	김소월	흐뭇함(귀여움/예쁨), 없음	흐뭇함(귀여움/예쁨), 감동/감탄, 기대감, 뿌듯함, 신기함/관심, 아껴주는	감동/감탄, 기쁨, 깨달음, 즐거움/신남, 행복	기쁨, 환영/호의, 행복	행복, 감동/감탄, 기대감, 흐뭇함(귀여움/예쁨)
1311	125	고초(苦椒)의 붉은 열매 익어가는 밤을		님과 벗	김소월	흐뭇함(귀여움/예쁨), 불쌍함/연민, 신기함/관심, 뿌듯함, 아껴주는	흐뭇함(귀여움/예쁨), 신기함/관심, 아껴주는, 기대감, 불안/걱정, 편안/쾌적	비장함, 불안/걱정	기대감, 기쁨, 불쌍함/연민, 행복	깨달음, 놀람, 존경
1312	125	그대여, 부르라, 나는 마시리.		님과 벗	김소월	아껴주는, 환영/호의	아껴주는, 환영/호의, 비장함, 서러움	안심/신뢰, 환영/호의	비장함, 기대감, 환영/호의	비장함, 즐거움/신남
1313	126	몹쓸은 꿈을 깨여 돌아눕을 때,		깊고 깊은 언약	김소월	공포/무서움, 당황/난처, 부담/안_내킴, 짜증, 지긋지긋	당황/난처, 불안/걱정, 안타까움/실망	서러움, 슬픔, 지긋지긋, 패배/자기혐오	슬픔, 불쌍함/연민, 서러움, 힘듦/지침	불안/걱정, 귀찮음, 짜증, 지긋지긋
1314	126	봄이 와서 맷나물 돋아나올 때,		깊고 깊은 언약	김소월	기쁨, 기대감, 흐뭇함(귀여움/예쁨)	기대감, 흐뭇함(귀여움/예쁨), 신기함/관심, 환영/호의	기대감, 기쁨, 신기함/관심, 흐뭇함(귀여움/예쁨)	기대감, 기쁨, 행복, 환영/호의	감동/감탄, 고마움, 기대감, 놀람, 기쁨
1315	126	아름답은 젊은이 앞을 지날 때,		깊고 깊은 언약	김소월	흐뭇함(귀여움/예쁨), 기대감, 기쁨	흐뭇함(귀여움/예쁨), 기대감, 기쁨	기쁨, 신기함/관심, 환영/호의	슬픔, 안타까움/실망	감동/감탄, 기대감, 기쁨
1316	126	잊어버렸던듯이 저도 모르게,		깊고 깊은 언약	김소월	놀람	놀람, 경악, 불안/걱정, 당황/난처, 서러움	당황/난처, 놀람, 안타까움/실망, 어이없음	놀람, 당황/난처	깨달음, 당황/난처
1317	126	얼결에 생각나는 '깊고 깊은 언약'		깊고 깊은 언약	김소월	기대감, 아껴주는, 환영/호의	기대감, 불안/걱정, 비장함, 안심/신뢰	놀람, 비장함	깨달음, 기대감, 아껴주는, 안심/신뢰	깨달음, 서러움
1318	127	땅 위에 새하얗게 오시는 눈.		오시는 눈	김소월	고마움, 기대감, 흐뭇함(귀여움/예쁨), 신기함/관심	고마움, 기대감, 흐뭇함(귀여움/예쁨), 신기함/관심, 감동/감탄, 환영/호의, 슬픔	기대감, 기쁨, 경악, 신기함/관심, 아껴주는, 흐뭇함(귀여움/예쁨)	감동/감탄, 기대감, 기쁨, 행복, 즐거움/신남	감동/감탄, 기쁨, 흐뭇함(귀여움/예쁨), 환영/호의
1319	127	기다리는 날에는 오시는 눈.		오시는 눈	김소월	기대감, 존경, 신기함/관심	기대감, 존경, 행복	감동/감탄, 기대감, 기쁨, 행복	기대감, 기쁨, 행복	감동/감탄, 기대감, 기쁨, 놀람, 환영/호의
1320	127	오늘도 저 안온날 오시는 눈.		오시는 눈	김소월	환영/호의, 신기함/관심, 감동/감탄, 당황/난처, 부담/안_내킴, 아껴주는	서러움, 슬픔, 안타까움/실망, 불안/걱정	불평/불만, 의심/불신, 짜증, 화남/분노, 슬픔	당황/난처, 안타까움/실망, 슬픔, 불평/불만	깨달음, 불평/불만, 안타까움/실망, 서러움, 슬픔
